Architecture    Offer                 Publisher                      Sku                                               Urn                                                                                                          Version
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.9060.260413                             14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.9140.260507                             14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.9234.260607                             14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-smalldisk                         MicrosoftWindowsServer:WindowsServer:2016-Datacenter-smalldisk:14393.9339.260711                             14393.9339.260711
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2022                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2022:6.2.7756                                    6.2.7756
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2022                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2022:6.3.8310                                    6.3.8310
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2022                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2022:6.3.8329                                    6.3.8329
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2022                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2022:6.3.8330                                    6.3.8330
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2022                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2022:6.3.8352                                    6.3.8352
x64             WindowsServerHPCPack  MicrosoftWindowsServerHPCPack  2019hn-ws2022                                     MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2022:6.3.8355                                    6.3.8355
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.8594.251112                          14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.8688.251205                          14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.8783.260109                          14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.8868.260206                          14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.8957.260304                          14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.9060.260413                          14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.9140.260507                          14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.9234.260607                          14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-smalldisk-g2                      MicrosoftWindowsServer:WindowsServer:2016-datacenter-smalldisk-g2:14393.9339.260711                          14393.9339.260711
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.8594.251112                                  14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.8688.251205                                  14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.8783.260109                                  14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.8868.260206                                  14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.8957.260304                                  14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.9060.260413                                  14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.9140.260507                                  14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.9234.260607                                  14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-Datacenter-zhcn                              MicrosoftWindowsServer:WindowsServer:2016-Datacenter-zhcn:14393.9339.260711                                  14393.9339.260711
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.8594.251112                               14393.8594.251112
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.8688.251205                               14393.8688.251205
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.8783.260109                               14393.8783.260109
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.8868.260206                               14393.8868.260206
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.8957.260304                               14393.8957.260304
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.9060.260413                               14393.9060.260413
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.9140.260507                               14393.9140.260507
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.9234.260607                               14393.9234.260607
x64             WindowsServer         MicrosoftWindowsServer         2016-datacenter-zhcn-g2                           MicrosoftWindowsServer:WindowsServer:2016-datacenter-zhcn-g2:14393.9339.260711                               14393.9339.260711
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8027.251112                                       17763.8027.251112
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8146.251205                                       17763.8146.251205
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8276.260109                                       17763.8276.260109
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8389.260206                                       17763.8389.260206
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8511.260305                                       17763.8511.260305
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8644.260411                                       17763.8644.260411
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8755.260509                                       17763.8755.260509
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.8880.260607                                       17763.8880.260607
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter                                   MicrosoftWindowsServer:WindowsServer:2019-Datacenter:17763.9020.260711                                       17763.9020.260711
x64             WindowsServer         MicrosoftWindowsServer         2019-Datacenter-Core                              MicrosoftWindowsServer:WindowsServer:2019-Datacenter-Core:17763.8027.251112                                  17763.8027.251112
